id_solicitud,edad,ciudad,estrato,ingreso_mensual,antiguedad_laboral_meses,num_creditos_activos,utilizacion_cupo,mora_maxima_12m,num_consultas_6m,dti,default
SC-000022,30,Bogota,3,1295000.0,130,2,0.14,150,4,0.296,1
SC-000023,18,Bogota,3,2358000.0,17,1,0.277,180,2,0.066,1
SC-000024,23,Bogota,6,1503000.0,73,2,0.381,0,1,0.208,0
SC-000025,31,Bogota,4,1581000.0,69,1,0.09,60,2,0.06,0
SC-000026,18,Bucaramanga,4,1035000.0,56,0,0.018,0,2,0.0,0
SC-000027,34,Bogota,3,2295000.0,161,2,0.391,0,1,0.206,0
SC-000028,22,Bucaramanga,5,1259000.0,24,0,0.204,30,1,0.0,0
SC-000029,26,Medellín,6,1000000.0,6,2,0.058,0,2,0.178,1
SC-000030,22,Bogota,5,2285000.0,53,2,0.274,0,4,0.113,0
SC-000031,52,Cartagena,1,1497000.0,62,0,0.183,90,1,0.0,0
SC-000032,29,Barranquilla,4,1000000.0,41,4,0.208,0,1,0.258,0
SC-000033,18,Cali,1,1000000.0,11,1,0.19,0,4,0.073,0
SC-000034,39,Cali,3,1176000.0,33,0,0.46,120,5,0.0,1
SC-000035,18,Barranquilla,1,1300000.0,17,0,0.338,0,1,0.0,1
SC-000036,32,Bogota,4,1108000.0,26,4,0.097,0,1,0.386,0
SC-000037,18,Bucaramanga,4,1187000.0,49,0,0.054,0,3,0.0,0
SC-000038,18,Bucaramanga,2,2730000.0,65,4,0.466,0,1,0.369,0
SC-000039,32,Barranquilla,3,1873000.0,12,1,0.768,30,3,0.052,1
SC-000040,38,Bogota,3,1104000.0,24,3,0.234,60,0,0.446,0
SC-000041,32,Barranquilla,3,1732000.0,15,2,0.259,0,1,0.173,0
SC-000042,28,Bogota,2,1000000.0,10,1,0.307,60,4,0.128,1
SC-000043,26,Bogota,3,1250000.0,73,1,0.327,0,2,0.083,0
SC-000044,18,Bogota,5,2916000.0,115,1,0.211,0,1,0.098,0
SC-000045,21,Medellín,1,1000000.0,22,2,0.378,30,2,0.178,0
SC-000046,24,Bucaramanga,1,1000000.0,66,3,0.253,30,1,0.253,1
SC-000047,42,Barranquilla,3,1000000.0,109,1,0.076,0,0,0.052,0
SC-000048,34,Cartagena,6,1000000.0,89,0,0.416,0,2,0.0,1
SC-000049,18,Medellín,4,1000000.0,9,3,0.193,0,4,0.417,0
SC-000050,33,Medellín,4,1000000.0,150,3,0.305,0,7,0.357,1
SC-000051,25,Medellín,3,1000000.0,22,1,0.461,0,5,0.065,0
SC-000052,21,Bucaramanga,4,1000000.0,19,1,0.346,30,2,0.109,1
SC-000053,37,Bogota,1,1692000.0,3,3,0.517,0,2,0.418,1
SC-000054,42,Bucaramanga,4,1000000.0,31,2,0.447,60,2,0.24,0
SC-000055,41,Cali,6,2450000.0,5,4,0.432,0,2,0.259,0
SC-000056,19,Medellín,4,1338000.0,13,1,0.253,0,3,0.137,0
SC-000057,26,Barranquilla,5,1827000.0,18,0,0.124,0,3,0.0,1
SC-000058,33,Cali,4,1000000.0,79,0,0.063,0,5,0.0,0
SC-000059,41,Bucaramanga,2,1644000.0,100,0,0.358,90,7,0.0,0
SC-000060,24,Bucaramanga,6,1000000.0,17,2,0.352,0,2,0.27,1
SC-000061,27,Medellín,1,1680000.0,93,0,0.07,0,3,0.0,0
SC-000062,18,Bogota,4,1092000.0,93,1,0.187,60,3,0.143,1
SC-000063,18,Cali,2,1372000.0,69,0,0.108,30,2,0.0,1
SC-000064,39,Bucaramanga,1,1000000.0,7,1,0.493,0,0,0.142,0
SC-000065,46,Bogota,3,1000000.0,56,3,0.149,0,1,0.166,0
SC-000066,29,Cali,3,1409000.0,139,3,0.545,30,3,0.23,0
SC-000067,42,Barranquilla,3,1000000.0,55,0,0.411,150,3,0.0,1
SC-000068,34,Cartagena,4,1300000.0,19,5,0.027,90,2,0.49,0
SC-000069,22,Bogota,1,1000000.0,33,5,0.585,0,3,0.552,0
SC-000070,34,Barranquilla,2,1638000.0,49,1,0.048,180,2,0.098,0
SC-000071,48,Bucaramanga,4,1000000.0,34,4,0.362,0,4,0.574,1
SC-000072,29,Bogota,3,1371000.0,6,1,0.445,0,4,0.074,1
SC-000073,48,Bogota,4,1433000.0,17,3,0.416,60,1,0.232,0
SC-000074,18,Bucaramanga,4,1000000.0,77,2,0.088,0,3,0.284,0
SC-000075,39,Bogota,5,1396000.0,94,0,0.472,0,5,0.0,0
SC-000076,31,Bucaramanga,4,1151000.0,7,2,0.337,0,1,0.222,0
SC-000077,26,Cali,3,1000000.0,146,2,0.195,0,1,0.236,1
SC-000078,31,Bogota,4,1000000.0,19,0,0.151,30,2,0.0,0
SC-000079,18,Bucaramanga,3,1000000.0,52,2,0.34,30,2,0.239,0
SC-000080,27,Medellín,3,1214000.0,66,2,0.359,0,1,0.135,0
SC-000081,34,Cali,5,1000000.0,80,2,0.085,0,6,0.271,0
SC-000082,47,Medellín,3,1043000.0,139,0,0.37,120,1,0.0,0
SC-000083,23,Cali,5,1000000.0,18,4,0.448,60,3,0.36,1
SC-000084,20,Bogota,5,1480000.0,93,3,0.077,0,3,0.173,0
SC-000085,23,Medellín,5,1000000.0,6,2,0.417,150,2,0.209,1
SC-000086,40,Bucaramanga,6,1000000.0,58,2,0.464,30,2,0.234,0
SC-000087,33,Bogota,3,1527000.0,65,1,0.199,0,0,0.144,0
SC-000088,23,Barranquilla,3,1204000.0,54,2,0.64,0,3,0.248,1
SC-000089,36,Medellín,4,1190000.0,13,0,0.155,0,6,0.0,0
SC-000090,31,Cartagena,3,1305000.0,99,3,0.206,30,2,0.43,0
SC-000091,41,Bogota,4,1000000.0,8,1,0.156,0,0,0.098,1
SC-000092,21,Bucaramanga,4,1550000.0,2,2,0.589,0,4,0.212,0
SC-000093,26,Medellín,4,1422000.0,60,0,0.234,0,0,0.0,0
SC-000094,25,Bogota,3,1000000.0,30,0,0.213,120,1,0.0,0
SC-000095,18,Bogota,2,1000000.0,90,4,0.129,0,4,0.535,0
SC-000096,33,Bogota,3,1000000.0,23,2,0.536,90,3,0.137,1
SC-000097,33,Cali,2,1000000.0,8,2,0.157,120,0,0.211,0
SC-000098,30,Medellín,5,1203000.0,86,3,0.173,0,1,0.367,0
SC-000099,27,Bucaramanga,3,2324000.0,38,4,0.039,0,6,0.562,0
SC-000100,18,Medellín,2,1884000.0,10,2,0.163,0,2,0.277,0
SC-000101,24,Bogota,1,1000000.0,61,1,0.084,90,4,0.101,1
SC-000102,25,Cali,4,1430000.0,34,0,0.255,0,0,0.0,0
SC-000103,20,Barranquilla,4,2186000.0,44,0,0.402,0,3,0.0,0
SC-000104,28,Bogota,3,1242000.0,29,2,0.189,0,5,0.194,1
SC-000105,34,Bogota,1,1895000.0,84,2,0.208,0,2,0.281,0
SC-000106,52,Bogota,3,3293000.0,84,0,0.108,120,5,0.0,0
SC-000107,32,Cartagena,3,1820000.0,59,5,0.59,30,1,0.698,1
SC-000108,33,Barranquilla,4,1143000.0,5,0,0.526,90,3,0.0,1
SC-000109,29,Medellín,4,1843000.0,87,0,0.411,0,1,0.0,0
SC-000110,18,Bucaramanga,3,1074000.0,53,2,0.392,0,1,0.29,0
SC-000111,29,Bucaramanga,2,1000000.0,57,0,0.111,150,2,0.0,0
SC-000112,30,Cali,6,1000000.0,21,2,0.347,0,5,0.204,0
SC-000113,59,Bucaramanga,3,2516000.0,101,2,0.33,120,1,0.256,0
SC-000114,27,Bogota,4,1000000.0,62,1,0.36,0,4,0.106,0
SC-000115,33,Bogota,2,2469000.0,5,1,0.034,0,1,0.149,1
SC-000116,29,Bogota,3,1329000.0,25,2,0.163,30,3,0.191,1
SC-000117,18,Bogota,1,1000000.0,104,3,0.106,150,2,0.364,1
SC-000118,43,Cali,4,1228000.0,2,1,0.155,150,1,0.129,1
SC-000119,39,Bucaramanga,6,1000000.0,156,3,0.193,0,2,0.298,0
SC-000120,39,Bogota,3,1433000.0,54,4,0.28,0,1,0.543,0
SC-000121,19,Bogota,1,1675000.0,47,2,0.351,0,1,0.209,1
SC-000122,46,Medellín,1,1000000.0,15,1,0.522,30,2,0.091,1
SC-000123,18,Bucaramanga,3,1060000.0,13,3,0.136,30,3,0.182,0
SC-000124,37,Medellín,2,3180000.0,136,2,0.405,0,0,0.179,0
SC-000125,56,Cali,1,1000000.0,17,1,0.272,120,1,0.123,0
SC-000126,18,Bogota,5,1000000.0,71,3,0.047,30,1,0.426,1
SC-000127,23,Bogota,3,2395000.0,23,0,0.295,60,5,0.0,0
SC-000128,31,Bucaramanga,3,3196000.0,7,3,0.501,0,1,0.257,0
SC-000129,23,Bucaramanga,6,1000000.0,0,1,0.486,0,1,0.065,0
SC-000130,18,Bogota,2,1806000.0,37,3,0.22,150,1,0.357,0
SC-000131,30,Bucaramanga,6,2202000.0,178,0,0.254,0,4,0.0,0
SC-000132,18,Barranquilla,3,1000000.0,22,2,0.399,90,2,0.228,1
SC-000133,35,Bucaramanga,5,1000000.0,21,2,0.364,120,3,0.223,0
SC-000134,18,Medellín,4,2061000.0,20,3,0.304,30,1,0.316,0
SC-000135,48,Cali,5,2706000.0,35,1,0.188,0,1,0.059,0
SC-000136,20,Cali,6,1380000.0,27,4,0.452,0,1,0.492,1
SC-000137,26,Barranquilla,3,1000000.0,101,1,0.181,0,2,0.11,0
SC-000138,39,Bogota,6,3244000.0,33,1,0.444,0,6,0.116,0
SC-000139,18,Bogota,3,1000000.0,34,0,0.112,0,2,0.0,0
SC-000140,32,Medellín,3,1000000.0,7,3,0.376,0,8,0.385,0
SC-000141,45,Barranquilla,3,1209000.0,194,0,0.107,0,5,0.0,1
SC-000142,18,Bogota,4,2502000.0,13,2,0.428,0,3,0.285,0
SC-000143,32,Barranquilla,2,1644000.0,3,0,0.528,0,5,0.0,0
SC-000144,33,Bucaramanga,4,1263000.0,52,2,0.274,0,0,0.216,0
SC-000145,39,Bogota,4,1300000.0,43,2,0.368,0,1,0.122,1
SC-000146,18,Barranquilla,5,1011000.0,25,4,0.502,30,4,0.384,1
SC-000147,18,Medellín,5,1376000.0,26,4,0.473,0,1,0.515,0
SC-000148,36,Bucaramanga,3,1000000.0,73,3,0.155,0,0,0.158,0
SC-000149,33,Bogota,3,1000000.0,10,4,0.223,30,1,0.223,1
SC-000150,33,Barranquilla,3,1138000.0,82,0,0.563,60,2,0.0,0
SC-000151,34,Bucaramanga,2,1000000.0,50,3,0.261,0,0,0.369,0
SC-000152,21,Bucaramanga,1,1241000.0,26,1,0.365,30,5,0.1,0
SC-000153,32,Barranquilla,3,1000000.0,29,0,0.2,120,3,0.0,1
SC-000154,33,Cali,3,2823000.0,14,0,0.279,60,4,0.0,0
SC-000155,21,Cali,6,2530000.0,66,4,0.585,0,1,0.493,1
SC-000156,52,Bucaramanga,4,1000000.0,34,2,0.219,30,3,0.164,0
SC-000157,35,Cali,3,1000000.0,18,0,0.274,0,1,0.0,0
SC-000158,18,Bogota,4,1000000.0,43,3,0.236,0,2,0.346,0
SC-000159,37,Bucaramanga,2,1000000.0,261,0,0.449,150,5,0.0,0
SC-000160,18,Barranquilla,3,1107000.0,27,1,0.342,0,2,0.086,1
SC-000161,39,Barranquilla,4,1000000.0,121,2,0.189,120,2,0.228,1
SC-000162,43,Bogota,3,1000000.0,20,2,0.07,0,5,0.154,0
SC-000163,20,Barranquilla,3,1431000.0,2,1,0.287,180,1,0.129,1
SC-000164,41,Medellín,6,1436000.0,10,4,0.423,0,3,0.292,1
SC-000165,34,Barranquilla,5,1000000.0,26,1,0.254,0,2,0.066,0
SC-000166,39,Bogota,4,1685000.0,11,2,0.367,0,3,0.256,0
SC-000167,52,Barranquilla,4,1000000.0,0,3,0.271,0,4,0.362,0
SC-000168,27,Bucaramanga,4,1146000.0,118,0,0.401,0,3,0.0,0
SC-000169,20,Bogota,2,1611000.0,89,2,0.463,60,5,0.123,1
SC-000170,19,Bucaramanga,3,1000000.0,65,1,0.053,0,1,0.134,0
SC-000171,20,Medellín,1,1293000.0,8,3,0.222,60,1,0.383,1
SC-000172,29,Bucaramanga,3,1000000.0,6,1,0.227,0,1,0.083,1
SC-000173,34,Cartagena,4,1000000.0,3,2,0.258,0,1,0.232,0
SC-000174,33,Cali,2,1000000.0,61,2,0.139,150,2,0.125,1
SC-000175,39,Cartagena,6,1000000.0,126,1,0.33,0,3,0.101,0
SC-000176,30,Bucaramanga,6,1000000.0,27,2,0.17,30,4,0.104,1
SC-000177,47,Medellín,4,1000000.0,6,5,0.285,30,3,0.446,0
SC-000178,26,Medellín,4,1000000.0,34,2,0.25,0,1,0.115,0
SC-000179,62,Barranquilla,5,1000000.0,20,3,0.116,90,6,0.293,0
SC-000180,37,Bucaramanga,2,1000000.0,22,1,0.207,30,1,0.092,0
SC-000181,19,Cartagena,5,1000000.0,46,2,0.4,0,1,0.189,1
SC-000182,18,Cartagena,2,1000000.0,60,2,0.179,90,4,0.109,0
SC-000183,35,Medellín,5,1313000.0,5,0,0.343,0,4,0.0,0
SC-000184,27,Bucaramanga,3,1664000.0,1,2,0.278,0,3,0.251,1
SC-000185,38,Bogota,5,1000000.0,248,1,0.052,120,2,0.087,0
SC-000186,35,Cali,6,1000000.0,12,1,0.062,30,2,0.122,0
SC-000187,29,Bogota,2,1000000.0,2,2,0.114,60,3,0.174,1
SC-000188,19,Medellín,3,1000000.0,10,1,0.102,30,2,0.092,0
SC-000189,18,Medellín,6,1000000.0,1,2,0.735,60,2,0.213,0
SC-000190,24,Medellín,3,1000000.0,23,1,0.385,120,4,0.145,0
SC-000191,40,Barranquilla,5,1000000.0,77,1,0.232,0,2,0.061,0
SC-000192,32,Medellín,4,1000000.0,20,1,0.238,0,2,0.053,0
SC-000193,18,Medellín,3,1098000.0,28,2,0.204,0,2,0.222,0
SC-000194,32,Bogota,3,1407000.0,54,1,0.419,30,1,0.145,1
SC-000195,34,Medellín,2,1000000.0,34,1,0.188,0,3,0.149,0
SC-000196,19,Bogota,5,1000000.0,94,2,0.244,0,4,0.197,0
SC-000197,31,Bogota,3,1000000.0,96,2,0.397,0,4,0.194,1
SC-000198,30,Cali,4,1000000.0,0,1,0.221,150,2,0.114,0
SC-000199,18,Barranquilla,3,1000000.0,72,1,0.077,30,2,0.106,0
SC-000200,34,Cali,4,1389000.0,29,0,0.551,0,3,0.0,0
SC-000201,36,Medellín,5,1000000.0,215,3,0.305,0,3,0.412,0
SC-000202,42,Medellín,6,1000000.0,31,2,0.388,0,8,0.249,1
SC-000203,42,Bucaramanga,3,1180000.0,208,3,0.383,0,2,0.299,0
SC-000204,18,Cali,5,1099000.0,67,1,0.427,0,1,0.096,0
SC-000205,18,Medellín,5,4955000.0,13,0,0.124,90,6,0.0,0
SC-000206,36,Bogota,4,1215000.0,37,0,0.093,180,5,0.0,0
SC-000207,36,Medellín,6,1000000.0,232,4,0.555,0,4,0.383,0
SC-000208,36,Medellín,2,1000000.0,93,0,0.322,0,3,0.0,0
SC-000209,75,Medellín,2,1000000.0,4,1,0.006,0,2,0.067,0
SC-000210,36,Cali,5,1000000.0,58,2,0.324,0,3,0.198,1
SC-000211,43,Cali,3,1000000.0,20,0,0.107,0,2,0.0,0
SC-000212,41,Cali,5,1705000.0,0,0,0.174,0,2,0.0,0
SC-000213,37,Cartagena,5,1000000.0,24,4,0.283,0,6,0.409,0
SC-000214,26,Bucaramanga,1,1000000.0,12,1,0.184,60,4,0.084,1
SC-000215,39,Barranquilla,5,1000000.0,82,2,0.552,30,3,0.121,0
SC-000216,20,Bucaramanga,3,2795000.0,19,2,0.085,30,5,0.292,0
SC-000217,27,Bogota,4,1000000.0,84,3,0.373,0,3,0.406,1
SC-000218,24,Bogota,4,2957000.0,0,0,0.27,90,1,0.0,0
SC-000219,30,Bogota,6,1605000.0,17,1,0.107,150,3,0.122,1
SC-000220,57,Barranquilla,1,1315000.0,13,2,0.446,0,2,0.17,0
SC-000221,18,Bucaramanga,3,1228000.0,12,1,0.313,0,1,0.149,0
SC-000222,38,Bogota,4,1247000.0,3,1,0.074,0,2,0.08,0
SC-000223,18,Bucaramanga,4,1000000.0,9,1,0.375,0,2,0.074,0
SC-000224,24,Bogota,4,1000000.0,38,3,0.183,0,1,0.32,1
SC-000225,43,Bucaramanga,2,1635000.0,16,0,0.537,0,2,0.0,0
SC-000226,30,Medellín,3,1000000.0,25,0,0.408,0,4,0.0,0
SC-000227,18,Bogota,3,1000000.0,22,1,0.302,0,3,0.121,0
SC-000228,21,Cali,5,1000000.0,100,3,0.269,0,1,0.168,0
SC-000229,38,Bogota,3,2737000.0,113,1,0.543,120,3,0.142,1
SC-000230,21,Bogota,2,2081000.0,32,2,0.221,0,4,0.116,0
SC-000231,32,Medellín,6,1000000.0,19,0,0.036,30,2,0.0,0
SC-000232,30,Bucaramanga,1,1743000.0,5,1,0.3,0,1,0.099,0
SC-000233,22,Cali,6,1000000.0,147,3,0.357,0,3,0.284,0
SC-000234,55,Medellín,4,1000000.0,2,0,0.172,0,3,0.0,0
SC-000235,37,Cali,5,1000000.0,16,5,0.208,0,1,0.745,1
SC-000236,18,Barranquilla,3,2515000.0,16,2,0.271,0,2,0.23,0
SC-000237,32,Bogota,1,1000000.0,18,0,0.042,0,6,0.0,1
SC-000238,22,Medellín,4,1000000.0,8,4,0.482,0,2,0.402,0
SC-000239,40,Bogota,5,1000000.0,73,2,0.27,30,0,0.206,0
SC-000240,20,Bogota,4,3086000.0,6,1,0.621,0,0,0.101,0
SC-000241,28,Barranquilla,2,2612000.0,48,1,0.469,30,6,0.107,0
SC-000242,36,Bogota,5,3728000.0,6,1,0.254,0,1,0.052,0
SC-000243,40,Cali,5,1000000.0,3,2,0.139,30,2,0.242,0
SC-000244,18,Barranquilla,4,1176000.0,115,1,0.343,0,2,0.121,0
SC-000245,25,Bogota,5,1000000.0,10,0,0.458,30,4,0.0,0
SC-000246,24,Cali,5,2388000.0,82,2,0.106,180,2,0.214,1
SC-000247,22,Bogota,4,1000000.0,37,1,0.101,120,2,0.107,1
SC-000248,51,Bucaramanga,1,1121000.0,3,1,0.497,0,3,0.118,1
SC-000249,34,Cali,3,1000000.0,149,4,0.35,90,2,0.234,1
SC-000250,18,Bucaramanga,1,1000000.0,13,1,0.307,0,6,0.113,0
SC-000251,41,Cali,3,1000000.0,94,3,0.23,120,0,0.234,0
SC-000252,55,Bogota,3,1000000.0,8,3,0.463,0,6,0.302,0
SC-000253,42,Barranquilla,1,1000000.0,92,4,0.157,0,3,0.509,0
SC-000254,18,Bucaramanga,3,1000000.0,0,2,0.153,0,4,0.241,1
SC-000255,24,Cali,2,1623000.0,34,1,0.126,0,2,0.062,0
SC-000256,45,Bucaramanga,5,1000000.0,70,1,0.15,30,1,0.109,0
SC-000257,21,Bucaramanga,6,1124000.0,131,2,0.226,120,4,0.294,1
SC-000258,35,Bogota,1,2045000.0,115,2,0.795,30,0,0.131,1
SC-000259,39,Bogota,6,1000000.0,82,0,0.315,30,5,0.0,0
SC-000260,18,Cali,4,1000000.0,105,1,0.369,60,2,0.12,0
SC-000261,29,Medellín,3,1000000.0,10,4,0.142,0,3,0.51,0
SC-000262,18,Bucaramanga,1,1998000.0,16,2,0.362,0,0,0.156,1
SC-000263,18,Bucaramanga,4,1106000.0,16,1,0.238,0,2,0.079,0
SC-000264,26,Medellín,5,1000000.0,22,3,0.204,0,2,0.422,0
SC-000265,18,Bogota,4,1316000.0,23,2,0.505,0,1,0.172,0
SC-000266,49,Cartagena,1,1000000.0,37,4,0.42,0,5,0.225,1
SC-000267,18,Bogota,1,1482000.0,8,4,0.185,0,3,0.44,1
SC-000268,24,Bucaramanga,3,1258000.0,56,0,0.345,0,2,0.0,0
SC-000269,31,Medellín,3,1000000.0,8,2,0.556,90,1,0.259,1
SC-000270,47,Barranquilla,2,1000000.0,17,3,0.621,0,4,0.343,0
SC-000271,18,Bogota,3,1000000.0,33,3,0.333,0,6,0.412,1
SC-000272,43,Cali,5,1357000.0,76,2,0.466,0,4,0.257,0
SC-000273,30,Medellín,6,2058000.0,64,2,0.388,0,3,0.122,0
SC-000274,18,Cali,3,1000000.0,49,2,0.284,0,2,0.176,0
SC-000275,35,Bogota,6,1296000.0,8,2,0.18,0,2,0.255,0
SC-000276,32,Cartagena,3,1000000.0,38,3,0.361,0,1,0.275,0
SC-000277,22,Bucaramanga,3,1000000.0,4,1,0.262,0,4,0.147,0
SC-000278,30,Bogota,2,1000000.0,22,3,0.371,0,0,0.371,0
SC-000279,25,Bogota,4,1000000.0,25,0,0.175,0,2,0.0,0
SC-000280,31,Bogota,6,1000000.0,1,2,0.366,30,3,0.276,0
SC-000281,37,Barranquilla,4,1000000.0,15,1,0.156,0,3,0.06,1
SC-000282,49,Cali,3,1173000.0,149,0,0.123,0,4,0.0,1
SC-000283,18,Cali,4,1000000.0,147,3,0.541,0,1,0.37,0
SC-000284,55,Bogota,2,1000000.0,20,1,0.334,60,0,0.136,0
SC-000285,18,Medellín,5,1000000.0,2,1,0.116,0,2,0.104,0
SC-000286,28,Cali,4,1000000.0,9,1,0.283,30,1,0.079,0
SC-000287,37,Cali,3,1296000.0,23,3,0.32,60,1,0.255,0
SC-000288,33,Bucaramanga,4,1000000.0,141,0,0.373,0,3,0.0,0
SC-000289,22,Bogota,4,1000000.0,7,2,0.463,0,1,0.165,1
SC-000290,27,Barranquilla,1,1000000.0,69,1,0.307,0,0,0.074,0
SC-000291,24,Medellín,4,2265000.0,5,1,0.163,0,3,0.111,1
SC-000292,22,Medellín,2,1000000.0,190,4,0.113,0,1,0.56,0
SC-000293,40,Barranquilla,4,1239000.0,23,2,0.292,0,4,0.161,0
SC-000294,34,Barranquilla,5,1072000.0,71,1,0.391,0,4,0.069,0
SC-000295,21,Bucaramanga,5,1000000.0,20,2,0.212,0,2,0.268,0
SC-000296,40,Bogota,4,1561000.0,47,1,0.176,60,1,0.124,1
SC-000297,33,Bogota,4,1120000.0,10,3,0.178,0,3,0.429,1
SC-000298,39,Barranquilla,2,1336000.0,7,3,0.185,120,6,0.2,1
SC-000299,37,Cali,5,10384000.0,133,6,0.287,120,1,0.387,1
SC-000300,20,Bogota,3,1000000.0,119,1,0.244,120,2,0.104,0
SC-000301,23,Bogota,3,2771000.0,104,3,0.1,60,2,0.334,1
SC-000302,38,Bogota,3,1000000.0,47,1,0.507,0,2,0.098,0
SC-000303,37,Bucaramanga,2,1170000.0,79,4,0.457,0,5,0.44,0
SC-000304,29,Bogota,4,1000000.0,3,1,0.203,0,4,0.068,1
SC-000305,31,Medellín,1,1000000.0,19,4,0.271,0,3,0.392,0
SC-000306,45,Bogota,4,1000000.0,18,1,0.124,60,4,0.116,0
SC-000307,22,Medellín,3,1200000.0,48,2,0.213,180,1,0.187,1
SC-000308,36,Bogota,1,1000000.0,21,2,0.018,0,2,0.236,0
SC-000309,27,Cali,4,1545000.0,7,2,0.213,0,3,0.19,1
SC-000310,27,Bogota,1,1000000.0,43,1,0.362,0,5,0.083,1
SC-000311,43,Bucaramanga,3,1000000.0,80,3,0.229,0,4,0.241,0
SC-000312,39,Bogota,4,1000000.0,23,2,0.238,0,3,0.182,0
SC-000313,39,Cali,1,2093000.0,6,1,0.439,0,0,0.052,0
SC-000314,45,Bucaramanga,5,1000000.0,10,0,0.324,60,3,0.0,1
SC-000315,30,Barranquilla,1,1221000.0,13,3,0.156,0,1,0.404,0
SC-000316,38,Cali,2,1000000.0,17,5,0.392,90,1,0.427,1
SC-000317,26,Medellín,4,1552000.0,49,1,0.233,30,2,0.055,1
SC-000318,33,Medellín,3,1486000.0,44,0,0.602,60,1,0.0,0
SC-000319,28,Barranquilla,2,2985000.0,57,1,0.255,0,2,0.076,0
SC-000320,31,Bucaramanga,3,1000000.0,21,0,0.118,90,4,0.0,1
SC-000321,37,Barranquilla,3,1471000.0,83,1,0.176,30,3,0.087,0
SC-000322,20,Cali,5,1044000.0,10,3,0.229,0,1,0.372,0
SC-000323,55,Cartagena,3,2143000.0,30,0,0.477,0,4,0.0,0
SC-000324,18,Medellín,5,1000000.0,77,4,0.201,120,2,0.43,1
SC-000325,18,Bogota,5,1540000.0,9,2,0.105,0,4,0.183,0
SC-000326,43,Cali,3,1000000.0,5,1,0.137,0,3,0.062,0
SC-000327,39,Bucaramanga,6,1000000.0,103,1,0.07,0,2,0.083,1
SC-000328,37,Bogota,3,1040000.0,20,3,0.33,30,2,0.367,0
SC-000329,37,Barranquilla,6,1145000.0,55,0,0.221,60,4,0.0,0
SC-000330,29,Bogota,1,1000000.0,1,1,0.387,0,3,0.062,0
SC-000331,19,Cali,4,1120000.0,56,7,0.415,0,2,0.464,1
SC-000332,30,Bogota,3,2538000.0,18,1,0.251,150,0,0.114,0
SC-000333,21,Medellín,3,1778000.0,2,1,0.474,60,1,0.131,0
SC-000334,41,Cartagena,4,1659000.0,45,3,0.057,90,1,0.255,0
SC-000335,28,Medellín,4,1000000.0,13,1,0.385,0,1,0.11,0
SC-000336,20,Barranquilla,1,1000000.0,23,2,0.487,0,3,0.134,0
SC-000337,26,Cartagena,2,1747000.0,4,2,0.263,0,2,0.162,0
SC-000338,34,Bucaramanga,4,1665000.0,7,1,0.188,30,2,0.052,0
SC-000339,23,Bogota,4,2382000.0,16,1,0.549,0,1,0.127,0
SC-000340,20,Medellín,6,1000000.0,4,1,0.144,0,3,0.09,0
SC-000341,32,Bogota,5,1000000.0,116,2,0.287,0,1,0.263,1
SC-000342,32,Bucaramanga,6,1000000.0,0,0,0.174,0,1,0.0,0
SC-000343,23,Bucaramanga,4,1000000.0,31,1,0.163,60,1,0.133,0
SC-000344,24,Cali,3,1790000.0,6,0,0.104,0,1,0.0,0
SC-000345,32,Bucaramanga,2,1000000.0,17,5,0.519,30,3,0.343,0
SC-000346,18,Cali,5,1446000.0,125,4,0.141,120,3,0.589,1
